"word","a_to_h_letter_count","frequency_score"
"cigar","3","2308"
"rebut","2","2307"
"humph","2","2306"
"awake","3","2305"
"blush","2","2304"
"focal","3","2303"
"evade","4","2302"
"naval","2","2301"
"serve","2","2300"
"heath","4","2299"
"dwarf","3","2298"
"model","2","2297"
"karma","2","2296"
"grade","4","2295"
"quiet","1","2294"
"bench","4","2293"
"abate","4","2292"
"feign","3","2291"
"major","1","2290"
"death","4","2289"
"fresh","3","2288"
"crust","1","2287"
"colon","1","2286"
"abase","4","2285"
"marry","1","2284"
"react","3","2283"
"batty","2","2282"
"pride","2","2281"
"floss","1","2280"
"helix","2","2279"
"croak","2","2278"
"staff","3","2277"
"paper","2","2276"
"unfed","3","2275"
"whelp","2","2274"
"trawl","1","2273"
"outdo","1","2272"
"adobe","4","2271"
"crazy","2","2270"
"sower","1","2269"
"repay","2","2268"
"digit","2","2267"
"crate","3","2266"
"cluck","2","2265"
"spike","1","2264"
"mimic","1","2263"
"pound","1","2262"
"maxim","1","2261"
"linen","1","2260"
"unmet","1","2259"
"flesh","3","2258"
"booby","2","2257"
"forth","2","2256"
"first","1","2255"
"stand","2","2254"
"belly","2","2253"
"seedy","3","2252"
"yearn","2","2251"
"drain","2","2250"
"bribe","3","2249"
"panel","2","2248"
"crass","2","2247"
"flume","2","2246"
"offal","3","2245"
"agree","4","2244"
"error","1","2243"
"argue","3","2242"
"bleed","4","2241"
"delta","3","2240"
"flick","2","2239"
"totem","1","2238"
"wooer","1","2237"
"front","1","2236"
"shrub","2","2235"
"parry","1","2234"
"biome","2","2233"
"lapel","2","2232"
"start","1","2231"
"greet","3","2230"
"goner","2","2229"
"golem","2","2228"
"round","1","2227"
"audit","2","2226"
"lying","1","2225"
"gamma","3","2224"
"labor","2","2223"
"islet","1","2222"
"civic","2","2221"
"forge","3","2220"
"corny","1","2219"
"basic","3","2218"
"salad","3","2217"
"agate","4","2216"
"spicy","1","2215"
"spray","1","2214"
"essay","2","2213"
"fjord","2","2212"
"spend","2","2211"
"kebab","4","2210"
"guild","2","2209"
"aback","4","2208"
"alone","2","2207"
"hatch","4","2206"
"hyper","2","2205"
"thumb","2","2204"
"dowry","1","2203"
"ought","2","2202"
"belch","4","2201"
"dutch","3","2200"
"tweed","3","2199"
"comet","2","2198"
"jaunt","1","2197"
"enema","3","2196"
"steed","3","2195"
"abyss","2","2194"
"growl","1","2193"
"fling","2","2192"
"dozen","2","2191"
"boozy","1","2190"
"erode","3","2189"
"world","1","2188"
"gouge","3","2187"
"click","2","2186"
"briar","2","2185"
"great","3","2184"
"altar","2","2183"
"blurt","1","2182"
"coast","2","2181"
"duchy","3","2180"
"groin","1","2179"
"fixer","2","2178"
"group","1","2177"
"rogue","2","2176"
"badly","3","2175"
"smart","1","2174"
"pithy","1","2173"
"gaudy","3","2172"
"chill","2","2171"
"heron","2","2170"
"vodka","2","2169"
"finer","2","2168"
"surer","1","2167"
"radio","2","2166"
"rouge","2","2165"
"perch","3","2164"
"retch","3","2163"
"wrote","1","2162"
"clock","2","2161"
"tilde","2","2160"
"store","1","2159"
"prove","1","2158"
"bring","2","2157"
"solve","1","2156"
"cheat","4","2155"
"grime","2","2154"
"exult","1","2153"
"usher","2","2152"
"epoch","3","2151"
"triad","2","2150"
"break","3","2149"
"rhino","1","2148"
"viral","1","2147"
"conic","2","2146"
"masse","2","2145"
"sonic","1","2144"
"vital","1","2143"
"trace","3","2142"
"using","1","2141"
"peach","4","2140"
"champ","3","2139"
"baton","2","2138"
"brake","3","2137"
"pluck","1","2136"
"craze","3","2135"
"gripe","2","2134"
"weary","2","2133"
"picky","1","2132"
"acute","3","2131"
"ferry","2","2130"
"aside","3","2129"
"tapir","1","2128"
"unify","1","2127"
"rebus","2","2126"
"boost","1","2125"
"siege","3","2124"
"tiger","2","2123"
