"word","wordle_valid"
"aahed","True"
"aalii","True"
"aargh","True"
"aaron","False"
"abaca","True"
"abaci","True"
"aback","True"
"abada","False"
"abaff","False"
"abaft","True"
"abaka","True"
"abama","False"
"abamp","True"
"aband","True"
"abase","True"
"abash","True"
"abask","True"
"abate","True"
"abaue","False"
"abave","False"
"abaze","False"
"abbas","True"
"abbes","True"
"abbey","True"
"abbie","False"
"abbot","True"
"abdal","False"
"abdat","False"
"abdom","False"
"abeam","True"
"abear","True"
"abede","False"
"abele","True"
"abend","False"
"aberr","False"
"abets","True"
"abhor","True"
"abide","True"
"abidi","False"
"abies","True"
"abilo","False"
"abime","False"
"abkar","False"
"abled","True"
"abler","True"
"ables","True"
"ablet","True"
"ablow","True"
"abmho","True"
"abner","False"
"abnet","False"
"abode","True"
"abody","False"
"abohm","True"
"aboil","True"
"aboma","True"
"aboon","True"
"abord","True"
"abort","True"
"abote","False"
"about","True"
"above","True"
"abram","True"
"abray","True"
"abret","False"
"abrim","True"
"abrin","True"
"abris","True"
"abrus","False"
"absee","False"
"absey","True"
"absis","False"
"absit","True"
"abstr","False"
"abuna","True"
"abune","True"
"abura","False"
"abuse","True"
"abush","False"
"abuta","False"
"abuts","True"
"abuzz","True"
"abwab","False"
"abyes","True"
"abysm","True"
"abyss","True"
"acale","False"
"acana","False"
"acapu","False"
"acara","False"
"acari","True"
"acast","False"
"acate","False"
"accel","False"
"accoy","True"
"accra","False"
"accts","False"
"accum","False"
"accur","False"
"accus","False"
"acedy","False"
"acerb","True"
"aceta","True"
"achar","True"
"ached","True"
"achen","False"
"acher","False"
"aches","True"
"achoo","True"
"achor","False"
"acids","True"
"acidy","True"
"acier","False"
"acies","False"
"acing","True"
"acini","True"
"ackee","True"
"acker","True"
"ackey","False"
"aclys","False"
"acmes","True"
"acmic","True"
"acned","True"
"acnes","True"
"acock","True"
"acoin","False"
"acold","True"
"acoma","False"
"acone","False"
"acool","False"
"acorn","True"
"acost","False"
"acoup","False"
"acrab","False"
"acred","True"
"acres","True"
"acrid","True"
"acroa","False"
"acron","False"
"acrux","False"
"acryl","False"
"acted","True"
"actin","True"
"acton","True"
"actor","True"
"actos","False"
"actus","False"
"acuan","False"
"acute","True"
"acyls","True"
"adage","True"
"adagy","False"
"adams","False"
"adapa","False"
"adapt","True"
"adati","False"
"adaty","False"
"adawe","False"
"adawn","False"
"adays","True"
"adcon","False"
"addax","True"
"addda","False"
"added","True"
"adder","True"
"addie","False"
"addio","True"
"addis","False"
"addle","True"
"addnl","False"
"adead","False"
"adeem","True"
"adeep","False"
"adela","False"
"adeps","False"
"adept","True"
"adfix","False"
"adiel","False"
"adieu","True"
"adion","False"
"adios","True"
"adits","True"
"adjag","False"
"adlai","False"
"adlay","False"
"adlet","False"
"adman","True"
"admen","True"
"admin","True"
"admit","True"
"admix","True"
"admov","False"
"admrx","False"
"adnex","False"
"adobe","True"
"adobo","True"
"adolf","False"
"adopt","True"
"adore","True"
"adorn","True"
"adown","True"
"adoxa","False"
"adoxy","False"
"adoze","True"
"adpao","False"
"adrad","True"
"adret","False"
"adrip","False"
"adrop","False"
"adrue","False"
"adsum","True"
"adult","True"
"adunc","True"
"adure","False"
"adusk","False"
"adust","True"
"adyta","True"
"adzer","False"
"adzes","True"
"aecia","True"
"aedes","True"
"aeger","False"
"aegir","False"
"aegis","True"
"aegle","False"
"aeons","True"
"aequi","False"
"aeric","False"
"aerie","True"
"aeron","False"
"aesir","True"
"aesop","False"
"aetat","False"
"aevia","False"
"aevum","False"
"aface","False"
"afara","True"
"afars","True"
"afear","True"
"affix","True"
"afgod","False"
"afifi","False"
"afire","True"
"aflat","False"
"afley","False"
"aflow","False"
"afoam","False"
"afoot","True"
"afore","True"
"afoul","True"
"afray","False"
"afret","False"
"afric","False"
"afrit","True"
"afros","True"
"after","True"
"agada","False"
"agade","False"
"again","True"
"agama","True"
"agami","True"
"agamy","False"
"agape","True"
"agars","True"
"agasp","False"
"agast","True"
"agata","False"
"agate","True"
"agaty","False"
"agave","True"
"agaze","True"
"agena","False"
"agend","False"
"agene","True"
"agent","True"
"agers","True"
"agete","False"
"agger","True"
"aggie","True"
"aggro","True"
"aggry","True"
"aggur","False"
"aghan","False"
"aghas","True"
"agiel","False"
"agile","True"
"aging","True"
"agios","True"
"agism","True"
"agist","True"
"aglee","True"
"aglet","True"
"agley","True"
"aglow","True"
"agmas","True"
"agnat","False"
"agnel","False"
"agnes","False"
"agnus","False"
"agoge","True"
"agoho","False"
"agone","True"
"agons","True"
"agony","True"
"agora","False"
"agrah","False"
"agral","False"
"agree","True"
"agria","True"
"agric","False"
"agrin","True"
"agrom","False"
"agron","False"
"agsam","False"
"agues","True"
"aguey","False"
"agura","False"
"agush","False"
"agust","False"
"ahead","True"
"aheap","True"
"ahems","False"
"ahind","True"
"ahint","True"
"ahmed","False"
"ahmet","False"
"ahold","True"
"aholt","False"
"ahong","False"
"ahsan","False"
"ahull","True"
"ahunt","False"
"ahura","False"
"ahush","False"
"ahwal","False"
"aided","True"
"aider","True"
"aides","True"
"aiery","True"
"aiger","False"
"aigre","False"
"ailed","True"
"ailie","False"
"aillt","False"
"aimak","False"
"aimed","True"
"aimee","False"
"aimer","True"
"ainee","True"
"ainoi","False"
"ainus","False"
"aioli","True"
"airan","False"
"aired","True"
"airer","True"
"airns","True"
"airth","True"
"airts","True"
"aisle","True"
"aitch","True"
"aitis","False"
"aiver","True"
"aiwan","False"
"aizle","True"
"ajaja","False"
"ajari","False"
"ajava","False"
"ajhar","False"
"ajiva","True"
"ajuga","True"
"akala","False"
"akali","False"
"akasa","False"
"akebi","False"
"akees","True"
"akeki","False"
"akela","True"
"akene","True"
"aking","True"
"akkad","False"
"aknee","False"
"aknow","False"
"akpek","False"
"akron","False"
"akule","False"
"akund","False"
"alack","True"
"alada","False"
"alain","False"
"alaki","False"
"alala","False"
"alamo","True"
"aland","True"
"alane","True"
"alang","True"
"alani","False"
"alans","True"
"alant","True"
"alapa","True"
"alarm","True"
"alary","True"
"alate","True"
"alawi","False"
"alban","False"
"albas","True"
"albee","True"
"albin","False"
"album","True"
"albus","False"
"albyn","False"
"alcae","False"
"alces","False"
"alcid","True"
"alcor","False"
"alday","False"
"aldea","True"
"alden","False"
"alder","True"
"aldim","False"
"aldol","True"
"aldus","False"
"aleak","False"
"aleck","True"
"alecs","True"
"alefs","True"
"aleft","True"
"alenu","False"
"aleph","True"
"alert","True"
"aleut","False"
"alfas","True"
"alfet","False"
"alfin","False"
"alfur","False"
"algae","True"
"algal","True"
"algas","True"
"algic","False"
"algid","True"
"algin","True"
"algol","False"
"algor","True"
"algum","True"
"alhet","False"
"alias","True"
"alibi","True"
"alice","False"
"alick","False"
"alida","False"
"alids","False"
"alien","True"
"aliet","False"
"alife","False"
"alifs","True"
"align","True"
"alike","True"
"alima","False"
"aline","True"
"alish","False"
"aliso","False"
"alisp","False"
"alist","True"
"alite","False"
"ality","False"
"alive","True"
"aliya","True"
"alkes","False"
"alkin","False"
"alkyd","True"
"alkyl","True"
"allah","False"
"allan","False"
"allay","True"
"allen","False"
"aller","False"
"alley","True"
"allez","False"
"allie","False"
"allis","True"
"allod","True"
"alloo","False"
"allot","True"
"allow","True"
"alloy","True"
"allyl","True"
"almah","True"
"alman","False"
"almas","True"
"almeh","True"
"almes","True"
"almon","False"
"almud","True"
"almug","True"
"alnus","False"
"alody","False"
"aloed","True"
"aloes","True"
"aloft","True"
"alogy","False"
"aloha","True"
"aloid","False"
"aloin","True"
"alois","False"
"aloma","False"
"alone","True"
"along","True"
"aloof","True"
"alosa","False"
"alose","False"
"aloud","True"
"alout","False"
"alowe","True"
"alpax","False"
"alpen","False"
"alpha","True"
"alpid","False"
"altar","True"
"alter","True"
"altho","True"
"altin","False"
"altos","True"
"altun","False"
"altus","False"
"aluco","False"
"alula","True"
"alums","True"
"alure","True"
"aluta","False"
"alvah","False"
"alvan","False"
"alvar","True"
"alvia","False"
"alvin","False"
"alvus","False"
"alway","True"
"amaas","False"
"amadi","False"
"amaga","False"
"amahs","True"
"amain","True"
"amala","False"
"amalg","False"
"amang","False"
"amani","False"
"amant","False"
"amapa","False"
"amara","False"
"amass","True"
"amate","True"
"amati","False"
"amaut","True"
"amaze","True"
"amban","True"
"ambar","False"
"ambas","False"
"ambay","False"
"amber","True"
"ambit","True"
"amble","True"
"ambon","False"
"ambos","True"
"ambry","True"
"ameba","True"
"ameed","False"
"ameen","False"
"ameer","True"
"amelu","False"
"amend","True"
"amene","True"
"amens","True"
"ament","True"
"amess","False"
"amhar","False"
"amias","True"
"amice","True"
"amici","True"
"amide","True"
"amido","True"
"amids","True"
"amies","True"
"amiga","True"
"amigo","True"
"amine","True"
"amini","False"
"amino","True"
"amins","True"
"amire","False"
"amirs","True"
"amish","False"
"amiss","True"
"amita","False"
"amity","True"
"amlet","False"
"amman","True"
"ammer","False"
"ammos","True"
"amnia","True"
"amnic","True"
"amoke","False"
"amoks","True"
"amole","True"
"among","True"
"amora","False"
"amort","True"
"amour","True"
"amove","True"
"amowt","True"
"amper","False"
"amphi","False"
"ample","True"
"amply","True"
"ampul","True"
"ampyx","False"
"amrit","True"
"amsel","False"
"amuck","True"
"amula","False"
"amuse","True"
"amuze","False"
"amvis","False"
"amylo","False"
"amyls","True"
"amzel","False"
"anabo","False"
"anack","False"
"anama","False"
"anana","True"
"anasa","False"
"ancha","False"
"ancle","True"
"ancon","True"
"ancor","False"
"ancre","False"
"andes","False"
"andia","False"
"andor","False"
"andre","False"
"anear","True"
"anele","True"
"anend","False"
"anent","True"
"angas","True"
"angel","True"
"anger","True"
"angia","False"
"angie","False"
"angka","False"
"angle","True"
"anglo","True"
"angor","False"
"angry","True"
"angst","True"
"angus","False"
"anhyd","False"
"aniba","False"
"anice","False"
"anigh","True"
"anile","True"
"anils","True"
"anima","True"
"anime","True"
"animi","True"
"animo","False"
"anion","True"
"anise","True"
"anita","False"
"anjan","False"
"anjou","False"
"ankee","False"
"anker","True"
"ankhs","True"
"ankle","True"
"ankou","False"
"ankus","True"
"anlas","True"
"anlet","False"
"anlia","False"
"anmia","False"
"annal","True"
"annam","False"
"annas","True"
"annat","True"
"annet","False"
"annex","True"
"annie","False"
"anniv","False"
"annot","False"
"annoy","True"
"annul","True"
"annum","False"
"annus","False"
"anoas","True"
"anode","True"
"anoia","False"
"anoil","False"
"anole","True"
"anoli","False"
"anomy","True"
"anorn","False"
"anour","False"
"anous","False"
"anova","False"
"ansae","True"
"ansar","False"
"ansel","False"
"anser","False"
"antae","True"
"antal","False"
"antar","True"
"antas","True"
"anted","True"
"antes","True"
"antic","True"
"antiq","False"
"antis","True"
"anton","False"
"antra","True"
"antre","True"
"antsy","True"
"antum","False"
"anura","True"
"anury","False"
"anvil","True"
"anzac","False"
"aoife","False"
"aorta","True"
"aotea","False"
"aotes","False"
"aotus","False"
"aouad","False"
"apace","True"
"apaid","True"
"apair","False"
"apama","False"
"apart","True"
"apass","False"
"apast","False"
"apeak","True"
"apeek","True"
"apers","True"
"apert","True"
"aperu","False"
"apery","True"
"aphid","True"
"aphis","True"
"aphra","False"
"apian","True"
"apiin","False"
"apili","False"
"apina","False"
"aping","True"
"apiol","True"
"apios","False"
"apish","True"
"apism","True"
"apium","False"
"apnea","True"
"apoda","False"
"apods","True"
"apoop","True"
"aport","True"
"apout","False"
"appal","True"
"appar","False"
"appay","True"
"appel","True"
"appet","False"
"apple","True"
"apply","True"
"appmt","False"
"appro","True"
"apptd","False"
"appui","True"
"apres","True"
"april","False"
"apron","True"
"apses","True"
"apsid","False"
"apsis","True"
"aptal","False"
"apter","True"
"aptly","True"
"aquae","True"
"aquas","True"
"araba","True"
"arabs","False"
"araby","False"
"araca","False"
"arace","False"
"arach","False"
"arado","False"
"arage","False"
"arain","False"
"arake","False"
"araks","True"
"aramu","False"
"arank","False"
"arara","False"
"araru","False"
"arase","False"
"arati","False"
"araua","False"
"arawa","False"
"arber","False"
"arbor","True"
"arcae","False"
"arced","True"
"arces","False"
"archd","False"
"arche","False"
"archt","False"
"archy","False"
"arcos","True"
"arcus","True"
"ardea","False"
"ardeb","True"
"arder","False"
"ardor","True"
"ardri","True"
"aread","True"
"areae","True"
"areal","True"
"arean","False"
"arear","True"
"areas","True"
"areca","True"
"areek","False"
"areel","False"
"arefy","True"
"areic","True"
"arena","True"
"arend","False"
"areng","False"
"arent","False"
"arere","True"
"arest","False"
"arete","True"
"argal","True"
"argan","True"
"argas","False"
"argel","False"
"argid","False"
"argil","True"
"argin","False"
"argle","True"
"argol","True"
"argon","True"
"argos","False"
"argot","True"
"argue","True"
"argus","True"
"arhar","False"
"arhat","True"
"arian","False"
"arias","True"
"ariel","True"
"aries","False"
"ariki","True"
"arils","True"
"arioi","False"
"arion","False"
"ariot","True"
"arise","True"
"arish","True"
"arist","False"
"arite","False"
"arith","False"
"arius","False"
"arjun","False"
"arkab","False"
"arkie","False"
"arles","True"
"armed","True"
"armer","True"
"armet","True"
"armil","True"
"armit","False"
"armor","True"
"arneb","False"
"arnee","False"
"arnut","True"
"aroar","False"
"arock","False"
"aroid","True"
"aroma","True"
"aroon","False"
"aroph","False"
"arose","True"
"arpen","True"
"arrah","True"
"arras","True"
"arrau","False"
"array","True"
"arret","True"
"arrgt","False"
"arrha","False"
"arrie","False"
"arris","True"
"arrow","True"
"arroz","True"
"arses","True"
"arsis","True"
"arsle","False"
"arson","True"
"arsyl","False"
"artal","True"
"artar","False"
"artel","True"
"arter","False"
"artha","False"
"artic","True"
"artie","False"
"artly","False"
"artou","False"
"artsy","True"
"artus","False"
"aruac","False"
"aruke","False"
"arulo","False"
"arums","True"
"arupa","False"
"arusa","False"
"arval","True"
"arvel","False"
"arvos","True"
"aryan","False"
"aryls","True"
"arzan","False"
"arzun","False"
"asale","False"
"asana","True"
"asaph","False"
"asarh","False"
"ascan","False"
"ascii","False"
"ascon","True"
"ascot","True"
"ascry","False"
"ascus","True"
"asdic","True"
"asgmt","False"
"ashed","True"
"ashen","True"
"asher","False"
"ashes","True"
"ashet","True"
"ashir","False"
"ashot","False"
"ashur","False"
"asian","False"
"aside","True"
"askar","False"
"asked","True"
"asker","True"
"askew","True"
"askip","False"
"askoi","True"
"askos","True"
"aslop","False"
"asoak","False"
"asoka","False"
"aspca","False"
"aspen","True"
"asper","True"
"aspic","True"
"aspis","True"
"assai","True"
"assam","True"
"assay","True"
"asses","True"
"asset","True"
"assis","False"
"assoc","False"
"assot","True"
"astay","False"
"astel","False"
"aster","True"
"astir","True"
"astor","False"
"astre","False"
"astur","False"
"asuri","False"
"asway","True"
"aswim","True"
"asyla","True"
"asyle","False"
"async","False"
"atake","False"
"atame","False"
"atavi","False"
"ataxy","True"
"ateba","False"
"atees","False"
"atelo","False"
"ately","False"
"athar","False"
"athel","False"
"atilt","True"
"atimy","True"
"ating","False"
"atlas","True"
"atlee","False"
"atman","True"
"atmas","True"
"atmid","False"
"atmos","True"
"atnah","False"
"atoke","True"
"atole","False"
"atoll","True"
"atoms","True"
"atomy","True"
"atone","True"
"atony","True"
"atopy","True"
"atour","False"
"atren","False"
"atria","True"
"atrip","True"
"attal","False"
"attar","True"
"atter","False"
"attic","True"
"attid","False"
"attle","False"
"attry","False"
"atule","False"
"atune","False"
"atwin","False"
"atypy","False"
"aubin","False"
"aucan","False"
"aucht","False"
"audad","True"
"audio","True"
"audit","True"
"aueto","False"
