"rank","word","count","wordle_valid"
"1","about","1226734006","True"
"2","other","978481319","True"
"3","which","810514085","True"
"4","their","782849411","True"
"5","there","701170205","True"
"6","first","578161543","True"
"7","would","572644147","True"
"8","these","541003982","True"
"9","click","536746424","True"
"10","price","501651226","True"
"11","state","453104133","True"
"12","email","443949646","True"
"13","world","431934249","True"
"14","music","414028837","True"
"15","after","372948094","True"
"16","video","365410017","True"
"17","where","360468339","True"
"18","books","347710184","True"
"19","years","337841309","True"
"20","order","336631187","True"
"21","items","330505325","True"
"22","group","321842984","True"
"23","under","313296421","True"
"24","games","305930896","True"
"25","could","302311431","True"
"26","great","301487430","True"
"27","hotel","297974790","True"
"28","store","291308910","True"
"29","terms","277705910","True"
"30","right","273620358","True"
"31","local","270742935","True"
"32","those","270014141","True"
"33","using","269448880","True"
"34","phone","256643812","True"
"35","forum","254478181","True"
"36","based","252405204","True"
"37","black","244690155","True"
"38","check","244491090","True"
"39","index","242826246","True"
"40","being","242783091","True"
"41","women","242520455","True"
"42","today","239271204","True"
"43","south","238581133","True"
"44","pages","234001114","True"
"45","found","232005894","True"
"46","house","231310420","True"
"47","photo","227125249","True"
"48","power","226596368","True"
"49","while","226194991","True"
"50","three","223417394","True"
"51","total","222649459","True"
"52","place","220970235","True"
"53","think","217856550","True"
"54","north","217809513","True"
"55","media","216432510","True"
"56","water","215178488","True"
"57","since","214302926","True"
"58","guide","213378807","True"
"59","board","212361059","True"
"60","white","209863729","True"
"61","small","208371878","True"
"62","times","202950880","True"
"63","sites","202755734","True"
"64","level","202563642","True"
"65","hours","198242904","True"
"66","image","197874283","True"
"67","title","196676017","True"
"68","shall","191963867","True"
"69","class","191087771","True"
"70","money","190205072","True"
"71","every","189325890","True"
"72","reply","184777992","True"
"73","value","182061247","True"
"74","press","179652730","True"
"75","learn","179428286","True"
"76","stock","176295589","True"
"77","sales","173244220","True"
"78","large","165863763","True"
"79","table","165341452","True"
"80","start","161913408","True"
"81","model","161205740","True"
"82","human","160573748","True"
"83","movie","158421100","True"
"84","march","158281269","True"
"85","yahoo","155733641","True"
"86","going","155284081","True"
"87","study","152978354","True"
"88","staff","151553180","True"
"89","again","150781416","True"
"90","april","149976767","False"
"91","never","149556758","True"
"92","users","149320234","True"
"93","topic","149001702","True"
"94","below","145701629","True"
"95","party","144707500","True"
"96","login","144200144","True"
"97","legal","142048771","True"
"98","above","141894620","True"
"99","quote","139242226","True"
"100","rates","137089538","True"
"101","young","136341684","True"
"102","field","135289140","True"
"103","paper","134939426","True"
"104","girls","132325396","True"
"105","night","130531484","True"
"106","texas","129399241","True"
"107","poker","129054826","True"
