word,a_to_h_letter_count,frequency_score,a_to_h_sequence,match_status,puzzle_id,fen,moves,rating,rating_deviation,popularity,nb_plays,themes,lichess_url,opening_tags,daily_date
"cigar","3","2308","cga","exact","5Ac55","8/1p6/1kbp1pN1/5P2/1P6/2R5/r1p3PP/5R1K w - - 3 32","g6e7 c6g2 h1g1 g2f1 g1f1 a2a1","1607","75","100","233","advantage attraction endgame long","https://lichess.org/ulafojcP#63","",""
"rebut","2","2307","eb","exact","wpXZg","1kr2b1r/1bp3q1/pp2B2p/4n1p1/1P6/P3QN2/5PPP/2R1R1K1 w - - 0 23","e6c8 e5f3 g2f3 b7c8","1598","74","100","416","advantage intermezzo middlegame short","https://lichess.org/h1nmZnrr#45","",""
"humph","2","2306","hh","exact","Wb9dk","2r5/ppq2k1p/3b2P1/1b4P1/3B4/8/P2N4/3K2QR b - - 0 32","f7g6 h1h6 g6f7 h6h7","1600","78","100","1302","crushing deflection middlegame short","https://lichess.org/9pyoyz2b/black#64","",""
"awake","3","2305","aae","exact","Z0TbD","5rk1/p1p2ppp/2p1p3/q2pP3/3Pb3/2P1P2P/1P4P1/1R1Q1RK1 w - - 1 19","b2b4 a5a2 f1f2 a2b1 d1b1 e4b1","1614","74","100","227","advantage endgame long","https://lichess.org/8p2QdoVC#37","",""
"blush","2","2304","bh","exact","TM6Sv","8/5p2/3k3P/3p4/3Kb3/1B2P3/8/8 b - - 0 60","d6e6 b3d5 e4d5 h6h7","1600","74","100","510","advancedPawn bishopEndgame crushing endgame sacrifice short","https://lichess.org/Agbug89X/black#120","",""
"focal","3","2303","fca","exact","qKdMr","8/3p4/1pp1p3/5kp1/P1PP2Rr/2K2P2/8/8 b - - 2 34","h4g4 f3g4 f5g4 c4c5 b6c5 a4a5","1597","75","100","267","advantage defensiveMove endgame long","https://lichess.org/TFdbHUOa/black#68","",""
"evade","4","2302","eade","exact","PaFUj","8/8/8/pp1P4/2k1K3/P7/8/8 b - - 0 46","c4c5 e4e5 b5b4 a3b4 a5b4 d5d6 c5c6 e5e6","1576","86","100","58","endgame","https://lichess.org/CGSbxJjb/black#92","",""
"naval","2","2301","aa","exact","Z2txS","6k1/5pp1/Qp2p2p/P7/1P2n3/4P2P/5PPK/2q5 b - - 2 31","b6a5 a6a8 g8h7 a8e4","1600","100","100","80","endgame equality fork short","https://lichess.org/C9eRaY5H/black#62","",""
"serve","2","2300","ee","exact","EGmGc","rnbq1r2/ppp1bk1p/1n4p1/3p2p1/8/1BNPQ3/PPP2PPP/R1B1R1K1 b - - 4 13","f7g7 e3e7 d8e7 e1e7","1600","75","100","866","advantage opening short","https://lichess.org/ovtu2u3V/black#26","Alekhine_Defense Alekhine_Defense_Normal_Variation",""
"heath","4","2299","heah","exact","8Q1sY","r2q4/pppn2k1/3pQp2/3Pp1r1/5bP1/N1P2K2/PP6/R6R b - - 6 22","d7c5 h1h7 g7h7 e6f7 g5g7 a1h1 f4h6 h1h6 h7h6 f7h5","1839","77","100","1433","attraction mate mateIn5 middlegame sacrifice veryLong","https://lichess.org/D74cHZJt/black#44","",""
"dwarf","3","2298","daf","exact","YLi1y","r2r4/p4kpp/5b2/8/4QP2/7P/PP1B1qP1/R2KR3 w - - 8 25","e4e3 d8d2 e3d2 a8d8 d2d8 f6d8","1595","76","100","143","crushing long middlegame pin sacrifice","https://lichess.org/F5X4DI51#49","",""
"model","2","2297","de","exact","6xb41","3r2k1/p1p1r1p1/2Qbq2p/5p2/PP2p3/2PPBN1P/5PP1/R4RK1 w - - 0 20","d3e4 d6h2 g1h2 e6c6","1600","120","100","61","discoveredAttack equality middlegame short","https://lichess.org/hOW19NLk#39","",""
"karma","2","2296","aa","exact","W51rP","r7/4kp1R/1p1p1p2/3PpP2/r1PqP3/1Q6/6PP/4R2K w - - 1 31","h2h3 a4a1 b3g3 a1e1","1601","77","100","86","endgame","https://lichess.org/9pU6rrwy#61","",""
"grade","4","2295","gade","exact","TXw37","3r3k/5Rq1/pp2Q2p/8/8/1P4P1/P3nPBP/6K1 w - - 4 31","g1f1 g7a1 f1e2 a1d1 e2e3 d1e1 e3f4 e1e6","1830","75","100","65","endgame","https://lichess.org/CW4cBcFB#61","",""
"quiet","1","2294","e","exact","S3ZhS","4B3/p7/1n2pp2/2rb1k2/Pp2q1p1/6QP/5PP1/5RK1 b - - 0 45","g4h3 e8g6","1600","76","100","329","master masterVsMaster mate mateIn1 middlegame oneMove","https://lichess.org/VQyl276r/black#90","",""
"bench","4","2293","bech","exact","M1024","2r1r2k/3QP2P/3p4/pp4p1/1n3q2/3B4/PPPR4/2K1R3 w - - 3 37","d7c8 b4d3 c1b1 e8c8 e7e8q c8e8 e1e8 h8h7","1882","75","94","4472","advantage intermezzo master middlegame pin veryLong","https://lichess.org/CGgYU007#73","",""
"abate","4","2292","abae","exact","IJUTl","4B3/6k1/P7/6r1/1K3p2/8/8/8 b - - 0 47","g5g1 a6a7 g1b1 b4a5 f4f3 a7a8q b1a1 e8a4","1896","76","98","353","advancedPawn crushing defensiveMove endgame promotion veryLong","https://lichess.org/P2mgyI4i/black#94","",""
