# Model-curated seed words. Format: familiarity tier | word
1|about
1|above
1|abuse
1|actor
1|adapt
1|admit
1|adore
1|after
1|again
1|agent
1|agree
1|ahead
1|alarm
1|album
1|alert
1|alike
1|alive
1|allow
1|alone
1|among
1|angry
1|ankle
1|apple
1|apply
1|arena
1|argue
1|arise
1|avoid
1|award
1|aware
1|badly
1|badge
1|bagel
1|baker
1|basic
1|beach
1|began
1|begin
1|being
1|belly
1|bench
1|berry
1|birth
1|black
1|blame
1|blank
1|blast
1|bleed
1|blend
1|block
1|blood
1|board
1|brain
1|brake
1|brand
1|bread
1|break
1|brick
1|bride
1|brief
1|bring
1|broad
1|broke
1|brown
1|build
1|bunch
1|buyer
1|cable
1|cabin
1|candy
1|carry
1|cause
1|chain
1|chair
1|chalk
1|charm
1|chase
1|cheap
1|check
1|chest
1|chief
1|child
1|choir
1|chose
1|claim
1|class
1|clean
1|clear
1|clerk
1|clock
1|close
1|coach
1|coast
1|color
1|could
1|count
1|court
1|cover
1|craft
1|crash
1|crazy
1|cream
1|crime
1|cross
1|crowd
1|crown
1|daily
1|dance
1|dealt
1|death
1|debut
1|delay
1|depth
1|diary
1|digit
1|dirty
1|doubt
1|dozen
1|draft
1|drama
1|dream
1|dress
1|drink
1|drive
1|earth
1|eight
1|elder
1|elect
1|email
1|empty
1|enjoy
1|enter
1|equal
1|error
1|event
1|every
1|exact
1|faith
1|false
1|fancy
1|favor
1|field
1|fight
1|final
1|first
1|flash
1|fleet
1|floor
1|flour
1|focus
1|force
1|forty
1|found
1|frame
1|fresh
1|front
1|fruit
1|funny
1|gauge
1|giant
1|given
1|glass
1|glory
1|glove
1|going
1|grace
1|grade
1|grain
1|grand
1|grant
1|grape
1|graph
1|grass
1|great
1|green
1|grief
1|group
1|guard
1|guess
1|habit
1|happy
1|heart
1|heavy
1|hello
1|hence
1|hobby
1|horse
1|hotel
1|house
1|human
1|image
1|large
1|later
1|laugh
1|layer
1|learn
1|least
1|leave
1|legal
1|light
1|limit
1|local
1|logic
1|loose
1|magic
1|major
1|maker
1|march
1|marry
1|match
1|maybe
1|media
1|mercy
1|metal
1|might
1|minor
1|model
1|money
1|month
1|moral
1|mouse
1|mouth
1|movie
1|music
1|night
1|north
1|ocean
1|offer
1|often
1|order
1|other
1|paint
1|panel
1|paper
1|party
1|peace
1|phone
1|photo
1|piece
1|place
1|plain
1|plane
1|plant
1|plate
1|power
1|press
1|price
1|pride
1|prime
1|proof
1|proud
1|quick
1|radio
1|raise
1|range
1|ratio
1|reach
1|ready
1|reply
1|right
1|rough
1|round
1|route
1|royal
1|scale
1|scene
1|school
1|score
1|serve
1|seven
1|share
1|sharp
1|sheep
1|sheet
1|shelf
1|shift
1|shine
1|shirt
1|shock
1|short
1|shown
1|sight
1|since
1|skill
1|sleep
1|slice
1|small
1|smart
1|smell
1|smile
1|smoke
1|solve
1|sound
1|south
1|space
1|spare
1|speak
1|speed
1|spend
1|spice
1|split
1|sport
1|stage
1|stand
1|start
1|state
1|steam
1|steel
1|stick
1|still
1|stock
1|stone
1|store
1|story
1|study
1|stuff
1|sugar
1|table
1|taken
1|taste
1|teach
1|thank
1|their
1|there
1|these
1|thick
1|thing
1|think
1|third
1|those
1|three
1|throw
1|tight
1|title
1|today
1|topic
1|total
1|touch
1|tough
1|tower
1|track
1|trade
1|train
1|treat
1|trend
1|trial
1|trust
1|truth
1|under
1|upset
1|value
1|video
1|visit
1|voice
1|waste
1|watch
1|water
1|wheel
1|where
1|which
1|while
1|white
1|whole
1|whose
1|woman
1|world
1|worth
1|would
1|write
1|wrong
1|youth

2|abide
2|abode
2|adopt
2|adorn
2|adult
2|affix
2|aisle
2|amend
2|ample
2|angel
2|angst
2|anthe
2|apart
2|aptly
2|arbor
2|audio
2|author
2|avail
2|avian
2|badge
2|barge
2|baron
2|batch
2|beard
2|beast
2|befit
2|begun
2|belch
2|below
2|berth
2|bible
2|binge
2|biome
2|bland
2|bleak
2|bless
2|blown
2|boast
2|bonus
2|bound
2|boxed
2|brace
2|brave
2|brawl
2|briar
2|bribe
2|broil
2|buddy
2|bumpy
2|cadet
2|camel
2|canoe
2|cargo
2|carve
2|caste
2|cedar
2|cello
2|civic
2|cocoa
2|comet
2|comic
2|conch
2|coral
2|couch
2|cough
2|creek
2|creep
2|cried
2|cruel
2|cubic
2|curry
2|decal
2|defer
2|deity
2|dense
2|derby
2|devil
2|diner
2|dizzy
2|dodge
2|dough
2|dover
2|dwell
2|eager
2|eagle
2|early
2|ebony
2|edged
2|edict
2|elbow
2|elder
2|elope
2|embed
2|emery
2|equip
2|erase
2|ethic
2|evade
2|every
2|exalt
2|exile
2|fable
2|facet
2|faint
2|fairy
2|fatal
2|feast
2|femur
2|ferry
2|fiber
2|fiery
2|flame
2|flask
2|flick
2|fling
2|float
2|flock
2|fluid
2|foamy
2|forge
2|forth
2|found
2|frail
2|fraud
2|freak
2|freed
2|fried
2|froze
2|gamma
2|gavel
2|geese
2|genie
2|genre
2|glare
2|gleam
2|glide
2|gloom
2|gnome
2|gorge
2|grace
2|grasp
2|greed
2|grill
2|grind
2|groan
2|guard
2|guava
2|guest
2|handy
2|harsh
2|haunt
2|haven
2|hazel
2|heath
2|hedge
2|herbs
2|hobby
2|humid
2|ideal
2|ivory
2|jaded
2|jelly
2|jewel
2|jolly
2|judge
2|label
2|labor
2|lance
2|lemon
2|lever
2|libel
2|lilac
2|liver
2|lobby
2|lofty
2|lunar
2|lyric
2|maple
2|mayor
2|medal
2|melon
2|merge
2|merit
2|mimic
2|mocha
2|modal
2|motel
2|novel
2|overt
2|oxide
2|ozone
2|peach
2|pearl
2|penny
2|perch
2|petal
2|piano
2|pilot
2|plead
2|plumb
2|pouch
2|prank
2|preach
2|quack
2|quail
2|quake
2|quota
2|ranch
2|ratio
2|realm
2|rebel
2|relic
2|renal
2|ridge
2|rifle
2|risky
2|rival
2|roast
2|robot
2|rugby
2|safer
2|salad
2|sauce
2|savor
2|scarf
2|scoop
2|scrap
2|shade
2|shale
2|shame
2|shark
2|shelf
2|shout
2|siren
2|skate
2|skull
2|slate
2|sloth
2|sneak
2|snore
2|solar
2|spade
2|spoke
2|squad
2|stair
2|stale
2|stare
2|stark
2|steak
2|sweat
2|swept
2|swing
2|swirl
2|tease
2|tempo
2|theft
2|thief
2|thigh
2|thorn
2|thumb
2|tiger
2|toast
2|token
2|tulip
2|urban
2|usher
2|valet
2|vague
2|vault
2|venom
2|vivid
2|vocal
2|wagon
2|waist
2|weary
2|weave
2|weird
2|wheat
2|whale
2|wheat
2|whisk
2|widen
2|widow
2|witty
2|woman
2|worry
2|wrath
2|wreak
